sub_id,parent_id,parent_name,package_name,card_name,sale_price,original_price,target_gender,age_min,age_max,total_tests,is_404,test_list,expiry,url
1023,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Liver Detox 1 ครั้ง),Liver Detox 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1023/sub
1024,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Liver Detox 5 ครั้ง),Liver Detox 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1024/sub
1025,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Liver Detox 10 ครั้ง),Liver Detox 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1025/sub
1026,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Immune Booster 1 ครั้ง),Immune Booster 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1026/sub
1027,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Immune Booster 5 ครั้ง),Immune Booster 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1027/sub
1028,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Immune Booster 10 ครั้ง),Immune Booster 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1028/sub
1029,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Mitochondria Energy 1 ครั้ง),Mitochondria Energy 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1029/sub
1030,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Mitochondria Energy 5 ครั้ง),Mitochondria Energy 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1030/sub
1031,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Mltochondria Energy 10 ครั้ง),Mltochondria Energy 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1031/sub
1032,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Brain Booster 1 ครั้ง),Brain Booster 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1032/sub
1033,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Brain Booster 5 ครั้ง),Brain Booster 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1033/sub
1034,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Brain Booster 10 ครั้ง),Brain Booster 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1034/sub
1035,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Neurotransmitter 1 ครั้ง),Neurotransmitter 1 ครั้ง,6500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1035/sub
1036,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Neurotransmitter 5 ครั้ง),Neurotransmitter 5 ครั้ง,31000,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1036/sub
1037,19121,“PRAN” The Serene Longevity,“PRAN” The Serene Longevity (Neurotransmitter 10 ครั้ง),Neurotransmitter 10 ครั้ง,58500,,all,,,0,False,,31 ธันวาคม 2569,https://navavej.com/package/1037/sub
926,19116,โปรแกรมรักษาภาวะเป็นหนุ่มเป็นสาวก่อนวัย,โปรแกรมรักษาภาวะเป็นหนุ่มเป็นสาวก่อนวัย (Enantone 3.75 MG (3 เข็ม)),Enantone 3.75 MG (3 เข็ม),21000,,all,,,18,False,เด็กเตี้ยโตไม่ทันเพื่อน | ขาดความมั่นใจ | มีพฤติกรรมก้าวร้าว | สูญเสียความสุขในวัยเด็ก | ขนาดอัณฑะ อวัยวะเพศใหญ่ขึ้น | เสียงแตก มีสิว หน้ามัน มีกลิ่นตัว | มีขนที่อวัยวะเพศ รักแร้ มีหนวด | ส่วนสูงเพิ่มขึ้นเร็วกว่าปกติ | คลำได้เต้านม มีไตนมขึ้น | มีสิว หน้ามัน มีกลิ่นตัว | สะโพกผาย | ส่วนสูงเพิ่มขึ้นเร็วกว่าปกติ | ราคายังไม่รวมค่ากุมารแพทย์ที่ปรึกษาและทำหัตถการ | ขอสงวนสิทธิในการเปลี่ยนแปลงราคา และเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า | โปรดนัดหมายล่วงหน้าก่อนเข้ารับบริการได้ที่ Navavej Call Center โทร. 1507 | ราคายังไม่รวมค่ากุมารแพทย์ที่ปรึกษาและทำหัตถการ | ขอสงวนสิทธิในการเปลี่ยนแปลงราคา และเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า | โปรดนัดหมายล่วงหน้าก่อนเข้ารับบริการได้ที่ Navavej Call Center โทร. 1507,31 ธันวาคม 2569,https://navavej.com/package/926/sub
927,19116,โปรแกรมรักษาภาวะเป็นหนุ่มเป็นสาวก่อนวัย,โปรแกรมรักษาภาวะเป็นหนุ่มเป็นสาวก่อนวัย (Enantone 11.25 MG (2 เข็ม)),Enantone 11.25 MG (2 เข็ม),39900,,all,,,18,False,เด็กเตี้ยโตไม่ทันเพื่อน | ขาดความมั่นใจ | มีพฤติกรรมก้าวร้าว | สูญเสียความสุขในวัยเด็ก | ขนาดอัณฑะ อวัยวะเพศใหญ่ขึ้น | เสียงแตก มีสิว หน้ามัน มีกลิ่นตัว | มีขนที่อวัยวะเพศ รักแร้ มีหนวด | ส่วนสูงเพิ่มขึ้นเร็วกว่าปกติ | คลำได้เต้านม มีไตนมขึ้น | มีสิว หน้ามัน มีกลิ่นตัว | สะโพกผาย | ส่วนสูงเพิ่มขึ้นเร็วกว่าปกติ | ราคายังไม่รวมค่ากุมารแพทย์ที่ปรึกษาและทำหัตถการ | ขอสงวนสิทธิในการเปลี่ยนแปลงราคา และเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า | โปรดนัดหมายล่วงหน้าก่อนเข้ารับบริการได้ที่ Navavej Call Center โทร. 1507 | ราคายังไม่รวมค่ากุมารแพทย์ที่ปรึกษาและทำหัตถการ | ขอสงวนสิทธิในการเปลี่ยนแปลงราคา และเงื่อนไขโดยไม่ต้องแจ้งให้ทราบล่วงหน้า | โปรดนัดหมายล่วงหน้าก่อนเข้ารับบริการได้ที่ Navavej Call Center โทร. 1507,31 ธันวาคม 2569,https://navavej.com/package/927/sub
